SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR_1,COURSE_DESCRIPTION
10288,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,3,,"Manos, Matthew",OFFICE,3,Individual research and readings. Not available for graduate credit.
10292,ACAD,ACAD-491,1,1,4,Individual Instruction,C,,N,TBA,TBA,,0,,,OFFICE,0,"Weekly, individual instruction with an Academy professor for deep exploration and study within an Academy core discipline."
10298,ACAD,ACAD-590,1,1,5,Directed Research,C,,N,TBA,TBA,,0,,,,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.
34050,ACAD,IDSN-428,68,1,1,Overview of Intellectual Property Laws for | Creatives and Entrepreneurs,C,,Y,17:30,18:20,W,22,A,"Overing, Michael",ONLINE,22,"Overview of the intellectual properties and a basic vocabulary for understanding of copyright, trademark, and patents for creatives and entrepreneurs."
34051,ACAD,IDSN-499,68,4,4,Special Topics,C,,Y,18:00,19:50,TH,17,A,"Crowley, Michael, Gregory",ONLINE,17,"Selected topics in design, business and technology."
34062,ACAD,IDSN-515,549,2,2,Professional Practices Residential,C,,Y,9:00,17:00,MHFSU,30,,"Lim, Yihyun",OFFICE,30,"One-week off-campus residential. Applied, intensive workshop format focused on solutions for real-world problems with input from industry experts."
34074,ACAD,IDSN-520,68,3,3,Design Essentials,C,,Y,17:30,18:50,H,12,A,"Child, Stephen, C.",ONLINE,12,"Overview of design language, process and product. Build fluency in applying core visual principles and design-based problem-solving techniques. Explore historical and contemporary design issues."
34076,ACAD,IDSN-522,68,2,2,Inclusive Design and Design Allyship,C,,Y,17:30,19:20,T,19,A,"Wolter, Davina",ONLINE,19,"Design processes for products, services, systems and policies that lead to effective solutions for diverse audiences."
34083,ACAD,IDSN-525,68,3,3,Business Essentials,C,,Y,17:30,18:50,W,14,A,"Armanini, Scott",ONLINE,14,Overview of general business and management concepts and techniques that builds theoretical and analytical fluency and identifies and examines leadership and managerial challenges.
34091,ACAD,IDSN-529,68,3,3,Marketing Strategy for Startups,C,,Y,17:30,19:50,H,26,A,"Clewis, Jay",ONLINE,26,"A focus on ideal marketing strategies for early-stage startups seeking to build communities of early adopters and beta testers for products, services, and systems."
34093,ACAD,IDSN-530,68,3,3,Technology Essentials,C,,Y,19:30,20:50,W,16,A,"Bruneau, John",ONLINE,16,"Overview of core information technology concepts, methods, and frameworks. Develop aptitude in using tools, applications and systems; learn basic programming languages and methodologies."
34100,ACAD,IDSN-537,1,4,4,Extended Reality for Fashion,C,,Y,18:00,20:50,T,13,,"Becker, Carsten",IYH110,13,"The intersection of fashion and extended reality in digital fashion design, retail and showcasing experiences and production of sharable and co-creative art."
34113,ACAD,IDSN-545,68,3,3,Integrative Project,C,,Y,19:30,21:20,H,17,A,"Swain, Chris | Schneider, Emily",ONLINE,17,"Faculty-mentored project. Demonstrate individual and simultaneous skills and competency across fields and within cross-functional, cross-disciplinary teams."
34121,ACAD,IDSN-550,68,4,4,Opportunity and Uncertainty,C,,Y,19:30,21:20,H,13,A,"Tan, Sue-Tze",ONLINE,13,"Discipline-specific, cross-disciplinary and shared approaches to recognizing/analyzing opportunities, identifying/framing problems and developing/iterating solutions. Techniques gleaned from entrepreneurship, creative practices, critical thinking methods, ethnography, systems theory."
34143,ACAD,IDSN-560,68,4,4,Narrative and Storytelling,C,,Y,19:30,21:20,W,11,A,"Checchi, Robert",ONLINE,11,"Discipline-specific, cross-disciplinary and shared approaches to exploring visual, written and spoken storytelling using digital modalities. Topics include communication theory, narrative structures and content creation."
34142,ACAD,IDSN-560,68,4,4,Narrative and Storytelling,C,,Y,17:30,19:20,T,24,A,"Clewis, Jay",ONLINE,24,"Discipline-specific, cross-disciplinary and shared approaches to exploring visual, written and spoken storytelling using digital modalities. Topics include communication theory, narrative structures and content creation."
34170,ACAD,IDSN-585,68,3,3,Capstone,C,,Y,19:30,21:20,T,42,A,"Clewis, Jay | Arnoult, Jean-Michel",ONLINE,42,"Faculty-mentored, applied project with individual and team | components. Implement a prototype solution to a problem. Deploy | relevant tools, methods and processes learned throughout the | program. Recommended preparation: all other required courses | (excluding concurrent courses)."
34190,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,1,A,"Tan, Sue-Tze",ONLINE,1,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34177,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Crowley, Michael, Gregory",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34173,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Arnoult, Jean-Michel",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34175,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Bruneau, John",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34179,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,3,A,"Delgatty, Grant",ONLINE,3,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34174,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Becker, Carsten",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34176,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Child, Stephen, C.",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34193,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,1,A,"Wolter, Davina",ONLINE,1,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34191,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Thomas, Doug",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34187,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,2,A,"Siegel, Aaron",ONLINE,2,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34183,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,4,A,"Lim, Yihyun",ONLINE,4,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34182,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Jones, Malcolm, Jamal",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34186,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Rikakis, Thanassis",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34188,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Sung, SeoYoon",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34180,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Dent, Patrick, H",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34184,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,1,A,"Lim, Yihyun",ONLINE,1,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34189,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Swain, Chris",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34181,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Hughes, Adam",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34185,ACAD,IDSN-590,68,1,3,Directed Research,C,,N,TBA,TBA,,0,A,"Manos, Matthew",ONLINE,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
34197,ACAD,IDSN-599,68,4,4,Special Topics,C,,Y,19:30,21:20,W,5,A,"Siegel, Aaron",ONLINE,5,"Selected topics in design, business and technology."
34780,ACAD,PRIN-550,1,2,2,Industry and Impact Projects,CL,,N,10:00,12:50,F,0,,,,0,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments."
34781,ACAD,PRIN-550,1,2,2,Industry and Impact Projects,CL,,Y,10:00,12:50,F,4,,"Wolter, Davina | Kanazawa, Michael",IYH212/213,4,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments."
34782,ACAD,PRIN-550,1,2,2,Industry and Impact Projects,CL,,Y,16:00,17:50,W,4,,"Delgatty, Grant | Jones, Malcolm, Jamal",IYH110,4,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments."
34801,ACAD,PRIN-590,1,1,3,Directed Research,C,,N,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
34800,ACAD,PRIN-590,1,1,3,Directed Research,C,,Y,TBA,TBA,,1,,"Delgatty, Grant",OFFICE,1,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
14187,ACCT,ACCT-462,442,2,2,Detecting Fraudulent Financial Reporting,C,,Y,16:00,17:50,MW,17,,"Smith, Lori, L.",ACC236,17,"Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment."
14291,ACCT,ACCT-572,33,3,3,Corporate Accounting and Reporting,C,,Y,18:30,21:30,T,17,,"Subramanyam, K.R.",JKP202,17,A study of financial reporting and disclosure issues with an | emphasis on the use of corporate financial statements and their | accompanying footnotes. Not open to students with credit in | equivalent subjects.
21910,ANSC,ASCJ-200,1,4,4,Navigating Media and News in the Digital Age,C,A,Y,11:00,12:20,TH,74,,"Kahn, Gabriel | Trope, Alison, P.",ANNL105A,74,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21911,ANSC,ASCJ-200,1,4,4,Navigating Media and News in the Digital Age,C,A,Y,11:00,12:20,TH,64,,"Kahn, Gabriel | Trope, Alison, P.",ANNL105A,64,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21913,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,9:00,9:50,W,19,,"Young, Jalen",ANN211,19,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21912,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,10:00,10:50,H,18,,"Lydell, Bryant",ANN211,18,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21916,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,13:00,13:50,W,19,,"Lopez, Rogelio, Alejandro",ANN405,19,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21918,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,13:00,13:50,H,19,,"Lydell, Bryant",ANN305,19,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21914,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,10:00,10:50,W,19,,"Young, Jalen",ANN211,19,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21919,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,15:00,15:50,H,18,,"Walton, India",ANN211,18,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21915,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,11:00,11:50,W,19,,"Lopez, Rogelio, Alejandro",ANN211,19,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21917,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,9:00,9:50,H,7,,"Lydell, Bryant",ANN211,7,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21920,ANSC,ASCJ-210,1,4,4,Contours of Change in Media and Communication,C,B,Y,14:00,15:20,MW,49,,"Scheer, Robert",ANNL105A,49,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon | ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship."
21921,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,9:00,9:50,T,3,,"O'Connor, Clare, Noble",ANN405,3,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon | ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship."
21922,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,10:00,10:50,T,22,,"O'Connor, Clare, Noble",ANN405,22,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon | ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship."
21923,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,11:00,11:50,W,24,,"Kelly, Ruth",ANN209,24,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon | ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship."
21951,ANSC,ASCJ-420,371,2,2,Annenberg Collaboratory,C,,Y,TBA,TBA,,7,,"Chan, Katrina, Dai-Kwong",OFFICE,7,"Collaborative, cutting-edge, experimental, experiential, interdisciplinary, results-based classes taught in new ways and places. Recommended Preparation: ASCJ-220."
21953,ANSC,ASCJ-420,670,1,1,Annenberg Collaboratory,C,,Y,TBA,TBA,,12,,"Gonzalez, Eduardo",OFFICE,12,"Collaborative, cutting-edge, experimental, experiential, interdisciplinary, results-based classes taught in new ways and places. Recommended Preparation: ASCJ-220."
21950,ANSC,ASCJ-420,627,2,2,Annenberg Collaboratory,C,,Y,TBA,TBA,,18,,"Bay, Willow | Pecot-Hebert, Lisa",OFFICE,18,"Collaborative, cutting-edge, experimental, experiential, interdisciplinary, results-based classes taught in new ways and places. Recommended Preparation: ASCJ-220."
21952,ANSC,ASCJ-420,683,1,1,Annenberg Collaboratory,C,,Y,TBA,TBA,,17,,"Bay, Willow",OFFICE,17,"Collaborative, cutting-edge, experimental, experiential, interdisciplinary, results-based classes taught in new ways and places. Recommended Preparation: ASCJ-220."
21701,ANSC,CMGT-500,169,4,4,Managing Communication,C,,Y,TBA,TBA,W,27,A,"Neff, Jessica, Janine | Lee, James, Jaeyong",ONLINE,27,"Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems."
21704,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,14:00,16:50,H,36,,"Koyama, Monica | Shipley, Brad, Allen",ASC231,36,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
21702,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,14:00,16:50,T,40,,"Koyama, Monica | Shipley, Brad, Allen",ASC231,40,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
12468,DHRP,BKN-794Z,46,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,
21705,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,18:00,20:50,H,27,,"Koyama, Monica | Shipley, Brad, Allen",ASC204,27,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
21703,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,18:00,20:50,T,39,,"Koyama, Monica | Shipley, Brad, Allen",ASC204,39,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
21707,ANSC,CMGT-502,169,4,4,Strategic Corporate Communication,C,,Y,TBA,TBA,W,63,A,"Neff, Jessica, Janine | Gunn, Leah | Schramm II, J. D.",ONLINE,63,"Roles, responsibilities and requirements of communication functions within corporations; design and implementation of communication plans; strategic message production for internal and external audiences."
21710,ANSC,CMGT-505,1,4,4,Communication in Work Settings,C,,Y,18:00,20:50,T,7,,"Keough, Colleen",ASC236,7,"How work settings determine communication: basic structures of communication, influence of technology, social contexts and physical space. Applications to management."
21714,ANSC,CMGT-507,1,4,4,Information Management: Analysis and Visualization,C,,Y,13:00,15:50,H,23,,"Zhou, Liuning",ANN409ABC,23,"Conceptual frameworks for analyses and visualization of information and data. Principles and strategies for data transformation, intermediate statistical analyses, data-based presentation, sense-making."
21713,ANSC,CMGT-507,1,4,4,Information Management: Analysis and Visualization,C,,Y,14:00,16:50,T,22,,"Zhou, Liuning",ANN209,22,"Conceptual frameworks for analyses and visualization of information and data. Principles and strategies for data transformation, intermediate statistical analyses, data-based presentation, sense-making."
21718,ANSC,CMGT-510,60,4,4,"Communication, Values, Attitudes and Behavior",C,,Y,14:00,16:50,H,2,A,"Murphy, Sheila, Teresa",ONLINE,2,Theory and research on value and attitude formation and change; consequences for communication and behavior.
21719,ANSC,CMGT-510,169,4,4,"Communication, Values, Attitudes and Behavior",C,,Y,TBA,TBA,T,47,A,"Muthuswamy, Nithya | Curtis, Mathew, Henry | Lee, James, Jaeyong | Neff, Jessica, Janine",ONLINE,47,Theory and research on value and attitude formation and change; consequences for communication and behavior.
21721,ANSC,CMGT-513,1,4,4,Communication Ethics for New Media and Technology,C,,Y,14:00,16:50,W,18,,"Bay, Morten",ANN409ABC,18,"Ethics for new media and technology. Leverages case studies, historical analysis, observational analysis. Equips data-oriented communication practitioners to be ethical stewards of data."
21722,ANSC,CMGT-514,1,4,4,Analytical Tools for Communication Decisions,C,,Y,13:00,15:50,M,20,,"Curtis, Mathew, Henry",ASC331,20,"Measurement and advanced statistical analysis with foundational and advanced data gathering techniques, including data mining. Statistical inferences for and effective communication about solutions."
21720,ANSC,CMGT-516,60,4,4,Communication Strategies For Innovators and Entrepreneurs,C,,Y,18:30,21:20,M,14,A,"Ferasat, Keemia",ONLINE,14,"Communication research, analysis and strategies for new ventures to establish spread and acceptance in saturated mediascapes. Help founders find persuasive voice and identity."
